Category,Carbohydrate/g,Data.Cholesterol/mg,Data.Fiber/g,Data.Kilocalories/kcal,Data.Protein/g,Data.Sugar Total/g,Data.Water/g,Data.Fat.Total Lipid/g,Data.Major Minerals.Calcium/mg,Data.Major Minerals.Iron/mg,Data.Major Minerals.Sodium/mg,Data.Vitamins.Vitamin A - IU,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
BUTTER,0.06,215.00,0.00,717.00,0.85,0.06,15.87,81.11,24.00,0.02,576.00,2499.00,0.17,0.00,0.00,2.32,7.00
CHEESE,2.34,75.00,0.00,353.00,21.40,0.50,42.41,28.74,528.00,0.31,1395.00,763.00,1.22,0.17,0.00,0.25,2.40
MILK,4.74,2.00,0.00,63.00,3.33,0.00,87.67,3.46,128.00,0.05,57.00,7.00,0.34,0.04,0.90,0.00,0.00
WHEY,5.12,1.00,0.00,24.00,0.76,5.12,93.42,0.09,103.00,0.08,48.00,7.00,0.18,0.04,0.10,0.00,0.00
YOGURT,4.66,13.00,0.00,61.00,3.47,4.66,87.90,3.25,121.00,0.05,46.00,99.00,0.37,0.03,0.50,0.06,0.20
EGG,0.77,423.00,0.00,143.00,12.58,0.77,75.84,9.94,53.00,1.83,140.00,487.00,1.29,0.14,0.00,0.97,0.30
CINNAMON,80.59,0.00,53.10,247.00,3.99,2.17,10.58,1.24,1002.00,8.32,10.00,295.00,0.00,0.16,3.80,2.32,31.20
PARSLEY,51.66,0.00,30.40,276.00,22.42,7.27,9.02,4.43,1468.00,97.86,452.00,10184.00,0.00,1.00,122.00,6.91,1359.50
BASIL,2.65,0.00,1.60,23.00,3.15,0.30,92.06,0.64,177.00,3.17,4.00,5275.00,0.00,0.16,18.00,0.80,414.80
SALT,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,24.00,0.33,38758.00,0.00,0.00,0.00,0.00,0.00,0.00
VINEGAR,0.93,0.00,0.00,21.00,0.00,0.40,93.81,0.00,7.00,0.20,5.00,0.00,0.00,0.00,0.00,0.00,0.00
THYME,24.45,0.00,14.00,101.00,5.56,0.00,65.11,1.68,405.00,17.45,9.00,4751.00,0.00,0.35,160.10,0.00,0.00
OIL,0.00,0.00,0.00,884.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.10,24.70
VEGETABLE OIL,0.00,0.00,0.00,862.00,0.00,0.00,0.00,100.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.09,0.50
GOOSE,0.00,80.00,0.00,371.00,15.86,0.00,49.66,33.62,12.00,2.50,73.00,55.00,0.34,0.39,4.20,0.00,0.00
QUAIL,0.00,76.00,0.00,192.00,19.63,0.00,69.65,12.05,13.00,3.97,53.00,243.00,0.43,0.60,6.10,0.00,0.00
TURKEY,0.08,78.00,0.00,157.00,20.37,0.00,70.61,7.77,15.00,1.69,67.00,341.00,1.62,0.41,0.20,0.00,0.00
LUNCHEON MEAT,3.40,76.00,0.00,293.00,12.50,0.00,55.50,25.10,0.00,0.64,946.00,0.00,0.61,0.28,43.00,0.24,0.00
CEREALS,79.60,0.00,1.60,371.00,8.80,0.64,10.00,1.20,2.00,3.91,1.00,3.00,0.00,0.15,0.00,0.12,0.30
ASPARAGUS,4.11,0.00,2.00,22.00,2.40,1.30,92.63,0.22,23.00,0.91,240.00,1006.00,0.00,0.08,7.70,1.50,50.60
SALMON,0.00,55.00,0.00,142.00,19.84,0.00,68.50,6.34,12.00,0.80,44.00,40.00,3.18,0.82,0.00,0.00,0.00
SEA BASS,0.00,41.00,0.00,97.00,18.43,0.00,78.27,2.00,10.00,0.29,68.00,183.00,0.30,0.40,0.00,0.50,0.10
CRAYFISH,0.00,114.00,0.00,77.00,15.97,0.00,82.24,0.95,27.00,0.84,58.00,53.00,2.00,0.11,1.20,2.85,0.10
CRAB,0.00,42.00,0.00,84.00,18.29,0.00,79.57,0.60,46.00,0.59,836.00,24.00,9.00,0.15,7.00,0.00,0.00
CLAM,2.57,34.00,0.00,74.00,12.77,0.00,81.82,0.97,46.00,13.98,56.00,300.00,49.44,0.06,13.00,0.31,0.20
TOFU,4.27,0.00,2.30,145.00,15.78,0.00,69.83,8.72,683.00,2.66,14.00,166.00,0.00,0.09,0.20,0.00,0.00
BISCUITS,48.50,1.00,1.30,365.00,6.20,3.48,26.70,16.50,49.00,3.30,1052.00,2.00,0.14,0.05,0.00,1.32,4.10
BREAD,54.60,43.00,1.10,326.00,4.30,0.00,29.20,10.50,21.00,1.40,302.00,493.00,0.10,0.15,1.70,0.00,0.00
COOKIES,74.10,0.00,1.10,446.00,6.90,13.93,3.90,13.80,43.00,2.75,393.00,0.00,0.05,0.02,0.00,0.12,5.90
CROISSANTS,45.80,67.00,2.60,406.00,8.20,11.26,23.20,21.00,37.00,2.03,744.00,744.00,0.16,0.06,0.20,0.84,1.80
Doughnuts,45.63,9.00,1.60,418.00,5.87,16.28,22.88,23.55,25.00,3.00,557.00,11.00,0.07,0.03,1.30,1.89,10.40
MUFFINS,41.40,39.00,2.70,296.00,6.90,0.00,37.70,11.40,200.00,2.39,467.00,140.00,0.15,0.04,0.30,0.00,0.00
WAFFLES,42.98,14.00,2.20,285.00,6.47,4.91,37.95,9.70,308.00,5.61,638.00,1271.00,2.93,0.90,0.00,1.05,7.80
POTATO CHIPS,52.80,0.00,4.40,491.00,7.70,0.00,1.90,32.40,50.00,1.94,750.00,217.00,0.00,0.62,33.90,0.00,0.00
RICE,76.17,0.00,3.40,362.00,7.50,0.00,12.37,2.68,33.00,1.80,4.00,0.00,0.00,0.51,0.00,0.68,0.00
WHEAT,68.03,0.00,12.20,329.00,15.40,0.41,12.76,1.92,25.00,3.60,2.00,9.00,0.00,0.34,0.00,1.01,1.90
PASTA,79.26,0.00,11.00,357.00,7.46,0.00,10.00,2.08,4.00,0.93,3.00,170.00,0.00,0.21,0.00,0.00,0.00
MACARONI,74.67,0.00,3.20,371.00,13.04,2.67,9.90,1.51,21.00,3.30,6.00,0.00,0.00,0.14,0.00,0.11,0.10
NOODLES,71.27,84.00,3.30,384.00,14.16,1.88,9.01,4.44,35.00,4.01,21.00,62.00,0.29,0.22,0.00,0.37,0.50
SPAGHETTI,74.67,0.00,3.20,371.00,13.04,2.67,9.90,1.51,21.00,3.30,6.00,0.00,0.00,0.14,0.00,0.11,0.10
